api,query,time,size
GraphQL,Simple,11.36470651626587,11891
GraphQL,Simple,11.099581241607666,11891
GraphQL,Simple,11.003459930419922,11891
GraphQL,Simple,11.320548057556152,11891
GraphQL,Simple,11.023014545440674,11891
GraphQL,Simple,11.182986497879028,11891
GraphQL,Simple,11.369311571121216,11891
GraphQL,Simple,10.990296840667725,11891
GraphQL,Simple,11.156955480575562,11891
GraphQL,Simple,10.699924945831299,11891
GraphQL,Complex,17.75625729560852,79644
GraphQL,Complex,15.340891361236572,79644
GraphQL,Complex,13.73112678527832,79644
GraphQL,Complex,13.493450164794922,79644
GraphQL,Complex,14.28849482536316,79644
GraphQL,Complex,16.574362993240356,79644
GraphQL,Complex,13.030643939971924,79644
GraphQL,Complex,13.377345323562622,79644
GraphQL,Complex,13.699404001235962,79644
GraphQL,Complex,13.666175603866577,79644
