api,query,time,size
Rest,Simple,10.507879972457886,5513446
Rest,Simple,12.058143138885498,5513446
Rest,Simple,10.743095397949219,5513446
Rest,Simple,11.40175485610962,5513446
Rest,Simple,9.707940578460693,5513446
Rest,Simple,9.908607482910156,5513446
Rest,Simple,9.586808204650879,5513446
Rest,Simple,10.544283151626587,5513446
Rest,Simple,10.295305013656616,5513446
Rest,Simple,9.897807836532593,5513446
Rest,Complex,22.08831262588501,804088
Rest,Complex,22.417768716812134,804088
Rest,Complex,21.62005114555359,804088
Rest,Complex,22.137859582901,804088
Rest,Complex,21.863630294799805,804088
Rest,Complex,21.64109182357788,804088
Rest,Complex,21.603657960891724,804088
Rest,Complex,21.939078330993652,804088
Rest,Complex,21.54057240486145,804088
Rest,Complex,22.126325607299805,804088
